ID_REF	VALUE	ABS_CALL	Detection p-value	
260793_at	1485.5	P	0.000244	
260785_at	1508.4	P	0.000244	
260794_at	357.4	P	0.001221	
260786_s_at	840.4	P	0.000244	
260795_at	30.6	A	0.5	
260787_at	320.9	P	0.000244	
260790_at	343.9	P	0.000732	
260791_at	76.2	A	0.067627	
260788_at	80	A	0.334473	
260792_at	23.2	A	0.696289	
260789_s_at	1665.9	P	0.000244	
259419_at	74.7	A	0.129639	
259389_at	129.3	A	0.398926	
259390_at	7.9	A	0.696289	
259391_s_at	877.4	P	0.000244	
259392_at	218	P	0.018555	
259396_at	574.8	P	0.000244	
259395_at	680.9	P	0.00293	
259393_at	862.5	P	0.000244	
259394_at	52.4	A	0.27417	
262626_at	846.8	P	0.000732	
262625_at	65.6	A	0.334473	
262624_at	91.1	P	0.000732	
262629_at	6437.9	P	0.000244	
262623_at	488.9	P	0.000244	
262628_at	130.4	P	0.018555	
262631_at	262.6	P	0.001953	
262622_at	442.7	P	0.000244	
262630_at	57.6	A	0.27417	
262621_at	1297.1	P	0.000244	
262620_at	9.6	A	0.665527	
262619_at	269.3	P	0.000244	
262618_at	387.2	P	0.000244	
262635_at	405.3	P	0.018555	
262627_at	7.4	A	0.888428	
262617_at	128.6	A	0.067627	
262616_at	82.3	P	0.030273	
262633_at	284	P	0.000244	
262637_at	1016.3	P	0.000244	
262638_at	1296	P	0.000244	
262636_at	521.6	P	0.000244	
262632_at	22323.2	P	0.000244	
262634_at	1264.6	P	0.000244	
260835_at	1012	P	0.000244	
260826_at	53.7	P	0.037598	
260824_at	291.2	P	0.000732	
260834_at	183.8	P	0.001221	
260827_at	108.7	A	0.111572	
260828_at	3.2	A	0.904785	
260830_at	1992.8	P	0.000244	
260823_at	107.9	P	0.030273	
260832_at	320.4	P	0.000732	
260822_at	351.9	P	0.008057	
260833_at	26.3	A	0.303711	
260825_at	35	A	0.171387	
260821_at	498.3	P	0.000244	
260831_at	848.1	P	0.000244	
260820_at	199.2	A	0.111572	
260819_at	219.8	P	0.01416	
