ID_REF	VALUE	ABS_CALL	Detection p-value
260821_at	599.5	P	0.000244
260831_at	633.6	P	0.000244
260820_at	176.7	A	0.246094
260819_at	293.3	P	0.001953
260829_s_at	1871	P	0.000244
260818_at	946.4	P	0.000732
260817_at	569.2	P	0.000732
260816_at	297	P	0.023926
260815_at	2169	P	0.000244
256052_at	401.5	P	0.046143
256051_at	11.2	A	0.601074
256066_at	136.6	A	0.19458
256059_at	10.4	A	0.665527
256050_at	332.4	P	0.01416
256049_at	901.4	P	0.000244
256064_at	261.6	P	0.001221
256048_at	71.6	A	0.633789
256055_at	219.9	P	0.046143
256061_at	502.5	P	0.001953
256060_at	699.1	P	0.000244
256047_at	55.7	A	0.398926
256065_at	637.5	P	0.000244
256034_at	2303.9	P	0.000244
256062_at	291.5	P	0.00415
256036_at	2526.2	P	0.000244
256054_at	1.6	A	0.969727
256063_at	16.7	A	0.567627
256046_at	165.8	P	0.030273
256035_at	4138.7	P	0.000244
256045_at	81.3	P	0.037598
256044_at	19.3	A	0.888428
256067_at	470.8	P	0.000732
256057_at	970.2	P	0.000732
256056_at	6	A	0.72583
256043_at	395.1	P	0.000244
256042_at	258.6	M	0.056152
256041_at	795.3	P	0.000244
256058_at	465.6	P	0.001221
256033_at	1034.7	P	0.000732
256053_at	47.7	A	0.5
256040_at	123.9	P	0.030273
261075_at	2254.4	P	0.000244
261074_at	72.8	A	0.366211
261073_at	111.7	A	0.095215
261083_at	1152.6	P	0.000244
261078_at	7597.8	P	0.000244
257489_at	31.1	A	0.533936
261072_at	100.1	A	0.246094
261081_at	411.3	P	0.000244
261082_at	802.7	P	0.000244
261080_at	835.3	P	0.001221
261071_at	226.3	P	0.010742
261070_at	232.6	P	0.023926
261069_at	73.7	A	0.171387
261076_at	1122.8	P	0.00293
261077_at	95.6	P	0.010742
261084_at	1479	P	0.000244
261068_at	88	A	0.080566
261067_at	14.1	A	0.80542
261079_s_at	770.1	P	0.000244
261066_at	28.3	A	0.366211
261065_at	62.7	A	0.149658
261064_at	148.2	M	0.056152
261063_at	158	A	0.246094
261062_at	342.2	P	0.030273
261061_at	3.6	A	0.969727
261091_at	51	A	0.149658
261090_at	81.3	A	0.219482
261089_at	213.6	A	0.067627
261088_at	85.7	A	0.171387
261438_at	16542.6	P	0.000244
261410_at	1611.3	P	0.000977
261435_at	63	A	0.219482
261413_at	366.4	P	0.000244
261409_at	421.4	P	0.000732
261434_at	697.1	P	0.000244
261433_s_at	674	P	0.000732
261432_at	9	A	0.80542
261466_at	15.7	A	0.870361
261417_at	1786.7	P	0.000244
261465_at	435.7	P	0.00293
261420_at	236	P	0.001953
261464_at	84.6	A	0.366211
261463_at	50	M	0.056152
261437_at	47.4	A	0.334473
261415_at	627.9	P	0.000244
261416_at	7932.4	P	0.000244
261411_at	1131.4	P	0.000244
261414_at	55.3	A	0.533936
261408_s_at	847	P	0.000244
261418_at	489.3	P	0.001221
261419_at	244.4	A	0.080566
261462_at	15.1	A	0.696289
261461_at	8.3	A	0.753906
261436_at	221.8	P	0.018555
261460_at	49.4	A	0.366211
261412_at	8296.2	P	0.000732
260677_at	191	M	0.056152
257495_at	521.5	P	0.000244
260678_at	552.9	P	0.001221
260622_at	153.6	P	0.046143
260679_at	318.9	P	0.001221
260680_s_at	252.4	P	0.00293
260681_at	63.7	P	0.037598
260647_at	308.4	P	0.030273
260626_at	408.4	P	0.000732
260648_at	20.4	A	0.633789
260625_at	451.6	A	0.095215
260621_at	88.4	A	0.149658
260620_at	76.1	A	0.246094
260649_at	74.2	A	0.533936
260623_at	93.7	A	0.398926
260624_at	8	A	0.932373
260619_at	1280.5	P	0.000244
261810_at	405	P	0.000244
261816_at	90.8	P	0.030273
261755_at	105.7	A	0.303711
261817_at	59.3	P	0.037598
