ID_REF	VALUE	ABS_CALL	Detection p-value	Normalized Value of Control	Shown on the paper
257303_at	32.5	A	0.6655270000000001	58.54	N
257304_at	14.2	A	0.780518	39.594	N
257305_at	87.2	A	0.129639	77.828	N
256730_at	22.2	A	0.5	26.441	N
256703_at	22.1	A	0.46606400000000003	5.899	N
256704_at	57.9	A	0.366211	77.498	N
256705_at	14.1	A	0.533936	31.885	N
256706_at	425.6	P	0.001221	459.789	N
256707_at	9.3	A	0.72583	18.593	N
256708_at	20.2	A	0.5	26.471	N
256709_at	26.1	A	0.303711	29.419	N
256731_at	124.4	P	0.014159999999999999	146.476	N
256710_at	22.6	A	0.6655270000000001	16.14	N
256732_at	6.4	A	0.8286129999999999	27.584	N
256733_at	8.5	A	0.780518	6.522	N
256702_at	42.5	A	0.17138699999999998	65.849	N
256711_at	4658.7	P	0.000244	4070.418	N
256748_x_at	47.3	A	0.601074	52.92	N
256749_at	25.7	A	0.080566	30.389	N
257110_x_at	36.5	A	0.5	37.78	N
257111_x_at	21.3	A	0.19458	41.847	N
257081_at	179.5	A	0.17138699999999998	164.457	N
257562_at	68.5	P	0.010742	60.872	N
257108_x_at	40.2	A	0.6655270000000001	21.739	N
257109_s_at	5.7	A	0.80542	22.216	N
258301_at	16.5	A	0.601074	19.44	N
258306_at	24.1	A	0.366211	29	N
258763_s_at	17.9	A	0.7539060000000001	7.796	N
258307_x_at	3.7	A	0.7539060000000001	46.025	N
258308_at	46.6	A	0.601074	28.588	N
258309_at	16.7	A	0.533936	16.76	N
258302_at	22.6	A	0.6655270000000001	27.93	N
258303_at	2.1	A	0.980469	34.99	N
258304_at	9.7	A	0.870361	14.49	N
258305_at	22.4	A	0.8286129999999999	11.357	N
256893_x_at	5.9	A	0.780518	13.984	N
257898_s_at	3.4	A	0.9814450000000001	NO DATA	N
256941_at	5.0	A	0.969727	12.519	N
256940_at	220.1	P	0.000732	358.074	Y
256571_at	27.2	A	0.080566	11.106	N
256572_at	6.3	A	0.5	23.146	N
257316_at	2.6	A	0.780518	5.295	N
257315_at	276.3	P	0.000732	282.629	N
256901_at	8.1	A	0.7539060000000001	5.528	N
257098_at	7.7	A	0.850342	5.214	N
257096_at	69.5	A	0.17138699999999998	69.843	N
257097_at	46.2	A	0.219482	86.943	N
256608_at	2.4	A	0.919434	14.627	N
256609_at	12.5	A	0.567627	6.425	N
256610_at	0.7	A	0.969727	NO DATA	N
257346_at	18.6	A	0.334473	24.928	N
255974_at	55.0	A	0.27416999999999997	55.185	N
256558_at	2.0	A	0.71875	22.791	N
256549_at	3.6	A	0.9970700000000001	6.227	N
256550_at	10.4	A	0.72583	19.042	N
256551_at	44.1	A	0.303711	76.098	N
256561_s_at	3.2	A	0.567627	NO DATA	N
256559_at	0.8	A	0.99585	NO DATA	N
256552_at	10.0	A	0.8286129999999999	12.793	N
256553_at	39.6	A	0.19458	52.559	N
256554_at	6.5	A	0.9624020000000001	5.387	N
256555_at	27.1	A	0.43237299999999995	21.798	N
256556_at	1.3	A	0.9814450000000001	NO DATA	N
256557_at	34.5	A	0.533936	18.025	N
256560_s_at	7.2	A	0.919434	26.061	N
256003_at	76.6	A	0.129639	78.791	N
256004_at	9.4	A	0.80542	4.585	N
255970_s_at	4.6	A	0.780518	18.577	N
263531_s_at	3.7	A	0.7539060000000001	11.974	N
256591_at	10.3	A	0.8286129999999999	6.969	N
256592_at	5.5	A	0.932373	14.383	N
265916_at	95.0	A	0.06762699999999999	111.285	N
256842_at	11.1	A	0.533936	32.387	N
256843_at	7.6	A	0.932373	7.474	N
256844_s_at	22.9	A	0.633789	8.931	N
256845_x_at	62.6	A	0.17138699999999998	53.199	N
256840_x_at	9.7	A	0.850342	19.258	N
256841_x_at	44.6	A	0.46606400000000003	22.205	N
256684_at	9.8	A	0.932373	10.461	N
256692_at	48.6	A	0.334473	8.719	N
256693_at	4.4	A	0.696289	16.737	N
256694_at	5.8	A	0.780518	18.362	N
256695_at	9.8	A	0.633789	48.014	N
256685_at	3.5	A	0.8286129999999999	7.476	N
256686_at	13.0	A	0.6655270000000001	40.653	N
256687_x_at	28.9	A	0.366211	11.917	N
256688_at	19.3	A	0.533936	14.667	N
256691_at	25.5	A	0.46606400000000003	42.11	N
256689_at	12.5	A	0.74707	24.978	N
256690_at	11.9	A	0.850342	33.808	N
256667_at	2.5	A	0.932373	6.645	N
256668_at	4.6	A	0.9047850000000001	51.511	N
256669_s_at	28.5	A	0.696289	21.163	N
256670_at	0.9	A	0.9047850000000001	NO DATA	N
256639_at	5.2	A	0.969727	4.858	N
256640_at	84.9	P	0.037598	67.01	N
256641_at	46.3	A	0.303711	170.18	N
256642_at	8.1	A	0.46606400000000003	22.189	N
256643_at	1.9	A	0.859375	14.205	N
256644_at	2.4	A	0.601074	25.659	N
255975_at	48.2	A	0.334473	54.38	N
255973_at	170.8	P	0.030273	182.746	N
256538_x_at	51.1	A	0.5	40.982	N
256539_at	28.2	A	0.5	16.135	N
